Stage position (?m),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
5.50005,2259,12737,0.0781185,1000,1.11E+06,251148,12737,50372,2259,8,27
5.51958,2011,11929,0.0660009,1000,1.11E+06,250611,11929,50125,2011,6,21
5.53972,1765,10542,0.0250803,1000,1.11E+06,249402,10542,50131,1765,2,7
5.55925,1503,9110,0.0439904,1000,1.11E+06,251047,9110,50363,1503,3,11
5.58,1081,8130,0.0618673,1000,1.11E+06,250082,8130,49803,1081,3,8
5.60015,848,7274,0.0519723,1000,1.11E+06,249882,7274,50334,848,2,9
5.62029,672,6832,0.0992503,1000,1.11E+06,249827,6832,49907,672,3,9
5.63982,527,6574,0.0419756,1000,1.11E+06,249179,6574,50225,527,1,7
5.65996,422,6684,0.159195,1000,1.11E+06,249478,6684,49559,422,3,9
5.67949,495,7349,0.178376,1000,1.11E+06,250254,7349,50324,495,4,11
5.70025,631,8175,0.0703264,1000,1.11E+06,249705,8175,50002,631,2,6
5.71978,807,9432,0.0550486,1000,1.11E+06,250084,9432,49887,807,2,12
5.73992,1127,10829,0.0591234,1000,1.11E+06,249636,10829,49901,1127,3,8
5.76006,1421,11953,0.0312366,1000,1.11E+06,250197,11953,50011,1421,2,13
5.78021,1786,13157,0.0744805,1000,1.11E+06,249721,13157,50007,1786,6,17
5.79974,2019,13802,0.0221456,1000,1.11E+06,249844,13802,49693,2019,2,13
5.81988,2214,14426,0.0804575,1000,1.11E+06,249603,14426,49875,2214,8,19
5.84002,2300,14547,0.0481613,1000,1.11E+06,249145,14547,50005,2300,5,23
5.86016,2404,14208,0.0465596,1000,1.11E+06,250121,14208,49576,2404,5,16
5.8797,2301,13750,0.0386433,1000,1.11E+06,249811,13750,50038,2301,4,13
5.89984,2229,13084,0.0702253,1000,1.11E+06,248852,13084,49640,2229,7,18
5.91998,2025,11843,0.0547107,1000,1.11E+06,249192,11843,50068,2025,5,15
5.94012,1706,10395,0.0131815,1000,1.11E+06,249944,10395,49313,1706,1,13
5.96026,1429,9210,0.0625417,1000,1.11E+06,248638,9210,49730,1429,4,13
5.9798,1146,8235,0.0778295,1000,1.11E+06,248905,8235,49687,1146,4,8
5.99994,876,7298,0.0766315,1000,1.11E+06,249463,7298,49566,876,3,6
6.02008,662,6715,0.100239,1000,1.11E+06,249547,6715,50030,662,3,9
6.04022,502,6269,0.0444344,1000,1.11E+06,248519,6269,49766,502,1,7
6.05976,454,6591,0.0984221,1000,1.11E+06,248828,6591,49658,454,2,6
6.0799,458,7329,0.0487167,1000,1.11E+06,248861,7329,49624,458,1,9
6.10004,624,8260,0.143588,1000,1.11E+06,247702,8260,49498,624,4,14
6.12018,748,9237,0.0895681,1000,1.11E+06,248155,9237,49637,748,3,9
6.13971,1065,10378,0.0833623,1000,1.11E+06,248807,10378,49876,1065,4,12
6.15986,1378,11748,0.0483246,1000,1.11E+06,249239,11748,49899,1378,3,14
6.18,1705,12964,0.0518694,1000,1.11E+06,247889,12964,50141,1705,4,9
6.20075,1938,13638,0.0345878,1000,1.11E+06,248365,13638,49567,1938,3,24
6.22028,2177,14400,0.0616074,1000,1.11E+06,248408,14400,49532,2177,6,15
6.23981,2232,14223,0.0699186,1000,1.11E+06,247251,14223,49604,2232,7,18
6.26057,2353,14203,0.0659969,1000,1.11E+06,247589,14203,49967,2353,7,22
6.2801,2265,13556,0.0196333,1000,1.11E+06,247631,13556,49850,2265,2,15
6.30024,2171,12868,0.0722007,1000,1.11E+06,247196,12868,49355,2171,7,17
6.31977,1931,11581,0.0930278,1000,1.11E+06,245965,11581,49349,1931,8,16
6.33992,1654,10384,0.0267933,1000,1.11E+06,248470,10384,49971,1654,2,10
6.36006,1375,9040,0.0326803,1000,1.11E+06,247545,9040,49255,1375,2,10
6.3802,1112,8253,0.141342,1000,1.11E+06,245983,8253,49235,1112,7,18
6.39973,875,7112,0,1000,1.11E+06,246095,7112,49163,875,0,3
6.41987,672,6468,0.0993308,1000,1.11E+06,246409,6468,49721,672,3,7
6.44002,494,6446,0.0906278,1000,1.11E+06,246112,6446,49468,494,2,6
6.46016,487,6695,0.046281,1000,1.11E+06,246275,6695,49164,487,1,7
6.4803,472,7229,0.0476304,1000,1.11E+06,246467,7229,49237,472,1,8
6.49983,658,8247,0.136065,1000,1.11E+06,245157,8247,49396,658,4,9
6.51997,816,9132,0.136499,1000,1.11E+06,245552,9132,49704,816,5,17
6.54012,1082,10208,0.0828831,1000,1.11E+06,245422,10208,49323,1082,4,13
6.56026,1377,11663,0,1000,1.11E+06,245040,11663,49021,1377,0,7
6.57918,1609,12698,0.112207,1000,1.11E+06,245722,12698,49088,1609,8,23
6.59993,1915,13407,0.0823414,1000,1.11E+06,245769,13407,49137,1915,7,24
6.62069,2137,13728,0.0315902,1000,1.11E+06,245286,13728,49119,2137,3,20
6.64022,2263,14174,0.0595422,1000,1.11E+06,244873,14174,49240,2263,6,17
6.65975,2246,13913,0.0807966,1000,1.10E+06,244751,13913,48710,2246,8,22
6.67989,2277,13391,0.0199365,1000,1.11E+06,244604,13391,48753,2277,2,11
6.70064,2125,12428,0.0842529,1000,1.11E+06,245607,12428,49415,2125,8,22
6.72018,1895,11224,0.0118491,1000,1.11E+06,244657,11224,49280,1895,1,14
6.73971,1718,10278,0.0915232,1000,1.11E+06,245404,10278,49280,1718,7,13
6.75985,1430,9105,0.0473304,1000,1.11E+06,245305,9105,49062,1430,3,11
6.77999,1071,7947,0.0628593,1000,1.11E+06,245750,7947,49304,1071,3,9
6.80013,882,7119,0.0767618,1000,1.11E+06,244652,7119,48984,882,3,9
6.82028,651,6566,0.1382,1000,1.11E+06,244425,6566,49148,651,4,11
6.83981,496,6560,0.0908467,1000,1.10E+06,244547,6560,48928,496,2,10
6.85995,462,6757,0.097036,1000,1.11E+06,245551,6757,49419,462,2,6
6.88009,496,7276,0.135497,1000,1.10E+06,245358,7276,49229,496,3,12
6.90023,626,8241,0.0720101,1000,1.10E+06,244702,8241,49003,626,2,7
6.91916,810,9147,0.137467,1000,1.10E+06,245701,9147,49521,810,5,11
6.93991,1035,10555,0.0861184,1000,1.10E+06,245886,10555,49497,1035,4,16
6.96066,1305,11578,0.0520471,1000,1.10E+06,245684,11578,48785,1305,3,17
6.98019,1651,12402,0.0817509,1000,1.10E+06,245907,12402,49023,1651,6,18
6.99973,1926,13656,0.0699261,1000,1.11E+06,244770,13656,49297,1926,6,15
7.01987,2095,14084,0.0644166,1000,1.11E+06,245332,14084,49129,2095,6,28
7.04001,2325,13983,0.0575653,1000,1.11E+06,245112,13983,49562,2325,6,16
7.06015,2327,13772,0.0385563,1000,1.10E+06,246226,13772,49254,2327,4,17
7.08029,2214,13314,0.0810704,1000,1.11E+06,246227,13314,49271,2214,8,18
7.09983,2100,12498,0.0427712,1000,1.11E+06,245736,12498,49232,2100,4,16
7.11997,1879,11192,0.0479799,1000,1.11E+06,246224,11192,49147,1879,4,14
7.14011,1652,9857,0.0540822,1000,1.10E+06,246711,9857,49389,1652,4,9
7.16025,1449,9053,0.0464153,1000,1.11E+06,245735,9053,49380,1449,3,7
7.17978,1131,7989,0.0198652,1000,1.10E+06,245549,7989,49152,1131,1,7
7.19993,856,7077,0.156924,1000,1.10E+06,245887,7077,49338,856,6,16
7.22007,618,6572,0.0362643,1000,1.10E+06,245603,6572,49282,618,1,8
7.24021,515,6511,0.174407,1000,1.10E+06,245670,6511,49190,515,4,9
7.25974,482,6710,0.1391,1000,1.11E+06,245984,6710,49460,482,3,9
7.27989,487,7200,0.0463163,1000,1.10E+06,246707,7200,48857,487,1,7
7.30003,629,8073,0.0358744,1000,1.11E+06,246070,8073,49047,629,1,9
7.32017,815,9203,0.0828595,1000,1.10E+06,246555,9203,49040,815,3,13
7.3397,1084,10599,0.0623823,1000,1.11E+06,245503,10599,49065,1084,3,19
7.35984,1386,11669,0.0644731,1000,1.10E+06,246846,11669,49448,1386,4,15
7.37999,1668,12536,0.0403287,1000,1.10E+06,245985,12536,49252,1668,3,11
7.40013,1903,13754,0.0466099,1000,1.10E+06,247075,13754,49807,1903,4,12
7.42027,2135,14232,0.0527408,1000,1.11E+06,246226,14232,49127,2135,5,20
7.4398,2215,14260,0.0403222,1000,1.10E+06,246876,14260,49472,2215,4,15
7.46055,2230,13736,0.0596045,1000,1.10E+06,246775,13736,49761,2230,6,18
7.48009,2313,13578,0.0290625,1000,1.11E+06,247222,13578,49323,2313,3,15
7.50023,2156,12324,0.0519714,1000,1.11E+06,246883,12324,49342,2156,5,15
7.51915,1998,11299,0.0561031,1000,1.10E+06,247879,11299,49283,1998,5,12
7.5399,1691,10132,0.06589,1000,1.11E+06,247449,10132,49603,1691,5,9
7.56005,1434,8920,0.0313726,1000,1.11E+06,247311,8920,49297,1434,2,9
7.58019,1084,7950,0,1000,1.11E+06,247296,7950,49965,1084,0,4
7.59972,844,7204,0.052951,1000,1.11E+06,247475,7204,49520,844,2,6
7.61986,681,6575,0.0330087,1000,1.10E+06,247624,6575,49093,681,1,10
7.64,475,6580,0,1000,1.11E+06,247461,6580,49279,475,0,7
7.66015,490,6785,0.0454257,1000,1.11E+06,248208,6785,49645,490,1,7
7.67968,539,7297,0.164855,1000,1.11E+06,247330,7297,49763,539,4,8
7.70043,596,8150,0.0371244,1000,1.10E+06,248487,8150,49939,596,1,11
7.72057,871,9338,0.0255688,1000,1.11E+06,248157,9338,49720,871,1,6
7.7401,1062,10608,0.168546,1000,1.11E+06,247408,10608,49492,1062,8,13
7.76025,1395,11511,0.0801527,1000,1.10E+06,247215,11511,49356,1395,5,15
7.77978,1636,12731,0.109174,1000,1.10E+06,246825,12731,49453,1636,8,24
7.79992,1987,13865,0.0898536,1000,1.11E+06,248684,13865,49603,1987,8,19
7.81945,2092,13998,0.106771,1000,1.11E+06,247463,13998,49584,2092,10,26
7.84021,2316,14326,0.03854,1000,1.11E+06,246322,14326,49527,2316,4,16
7.85913,2430,14211,0.0464439,1000,1.10E+06,247285,14211,48917,2430,5,16
7.88049,2334,13553,0.0476933,1000,1.11E+06,246142,13553,49800,2334,5,18
7.90002,2087,12359,0.0426996,1000,1.10E+06,248134,12359,49553,2087,4,18
7.92077,1923,11366,0.0345792,1000,1.10E+06,249049,11366,49789,1923,3,14
7.9397,1613,9959,0.0552441,1000,1.11E+06,247924,9959,49618,1613,4,9
7.95984,1344,9036,0.0499335,1000,1.11E+06,248671,9036,49468,1344,3,4
7.97998,1143,8053,0.0580834,1000,1.11E+06,247869,8053,49991,1143,3,10
8.00012,923,7272,0.0241042,1000,1.10E+06,247495,7272,49655,923,1,3
8.02026,693,6875,0.0966901,1000,1.11E+06,247736,6875,49487,693,3,15
8.0398,545,6831,0,1000,1.11E+06,248529,6831,49857,545,0,4
8.05994,488,7002,0.137848,1000,1.11E+06,247153,7002,49377,488,3,6
8.08008,515,7601,0.0433581,1000,1.11E+06,248089,7601,49497,515,1,6
8.10022,673,8416,0.0662473,1000,1.11E+06,247085,8416,49598,673,2,8
8.11975,829,9696,0.0267261,1000,1.11E+06,247888,9696,49925,829,1,8
8.1399,1164,10680,0.0192357,1000,1.11E+06,247106,10680,49393,1164,1,13
8.16004,1375,11890,0.0321607,1000,1.10E+06,248696,11890,49970,1375,2,19
8.18079,1697,12819,0.0263522,1000,1.11E+06,246380,12819,49479,1697,2,5
8.19971,1933,13465,0.103891,1000,1.11E+06,248077,13465,49575,1933,9,18
8.21986,2141,13774,0.0524688,1000,1.11E+06,248484,13774,49209,2141,5,20
8.24,2299,14274,0.0872722,1000,1.11E+06,247868,14274,49607,2299,9,20
8.26014,2416,13756,0.0366764,1000,1.11E+06,248442,13756,49896,2416,4,9
8.27967,2235,13209,0.0691699,1000,1.10E+06,247845,13209,49998,2235,7,16
8.29981,2156,12282,0.061874,1000,1.11E+06,247734,12282,49747,2156,6,19
8.31996,1984,11414,0.0337939,1000,1.11E+06,248438,11414,49471,1984,3,14
8.34071,1667,9959,0.0266856,1000,1.11E+06,249559,9959,49712,1667,2,14
8.36085,1356,8839,0.0661421,1000,1.11E+06,247057,8839,49395,1356,4,12
8.38038,1131,7976,0.059202,1000,1.11E+06,247041,7976,49595,1131,3,7
8.39991,885,7186,0.07556,1000,1.11E+06,248832,7186,49779,885,3,8
8.42006,602,6674,0.184502,1000,1.11E+06,248482,6674,49874,602,5,12
8.4402,484,6739,0.0460855,1000,1.11E+06,248022,6739,49633,484,1,5
8.45973,454,7055,0.0490357,1000,1.11E+06,248199,7055,49725,454,1,13
8.47987,574,7533,0.0780082,1000,1.11E+06,248102,7533,49425,574,2,6
8.50002,719,8605,0.123698,1000,1.10E+06,246615,8605,49690,719,4,10
8.52016,917,9748,0.024316,1000,1.11E+06,248269,9748,49578,917,1,13
8.5403,1232,10733,0.0721015,1000,1.10E+06,248900,10733,49755,1232,4,15
8.55983,1471,11834,0.0907476,1000,1.11E+06,248472,11834,49699,1471,6,18
8.57997,1697,13005,0.0261311,1000,1.11E+06,247666,13005,49870,1697,2,12
8.60012,1925,13509,0.0460517,1000,1.10E+06,247386,13509,49852,1925,4,15
8.62026,2074,13791,0.0432829,1000,1.10E+06,247169,13791,49221,2074,4,18
8.6404,2240,14013,0.0899076,1000,1.10E+06,247397,14013,49366,2240,9,18
8.65993,2288,13654,0.0097689,1000,1.11E+06,247804,13654,49602,2288,1,9
8.68007,2283,13381,0.029248,1000,1.11E+06,248299,13381,49740,2283,3,20
8.70083,2166,12396,0.0413455,1000,1.10E+06,248503,12396,49347,2166,4,15
8.71975,1959,11347,0.0559062,1000,1.11E+06,248504,11347,50471,1959,5,18
8.73989,1688,10077,0.0661065,1000,1.10E+06,247655,10077,49462,1688,5,7
8.76064,1364,8770,0.0650512,1000,1.11E+06,248832,8770,49854,1364,4,17
8.78018,1136,8009,0.0774006,1000,1.10E+06,248577,8009,50265,1136,4,14
8.79971,809,7237,0.110691,1000,1.11E+06,247482,7237,49367,809,4,9
8.81985,648,6725,0.102783,1000,1.11E+06,248915,6725,49867,648,3,8
8.83999,548,6599,0.0814248,1000,1.11E+06,247682,6599,49603,548,2,13
8.86013,473,7035,0.0942193,1000,1.10E+06,247840,7035,49560,473,2,9
8.88028,555,7744,0.120136,1000,1.11E+06,248188,7744,49753,555,3,9
8.90042,726,8586,0.0917995,1000,1.10E+06,248261,8586,49716,726,3,12
8.91995,947,9908,0.116334,1000,1.11E+06,249145,9908,50275,947,5,16
8.94009,1180,11008,0.0757467,1000,1.11E+06,248761,11008,49461,1180,4,19
8.96023,1436,12047,0.0774884,1000,1.11E+06,248458,12047,49711,1436,5,18
8.97977,1667,13019,0.0400953,1000,1.11E+06,248532,13019,49629,1667,3,13
8.99991,1954,13489,0.0566951,1000,1.11E+06,248660,13489,49911,1954,5,19
9.02005,2199,14073,0.0403861,1000,1.11E+06,248852,14073,49817,2199,4,16
9.04019,2361,14164,0.0568385,1000,1.11E+06,247556,14164,49415,2361,6,18
9.05972,2264,13472,0.0689916,1000,1.11E+06,247825,13472,49526,2264,7,20
9.07987,2178,13069,0.0611818,1000,1.11E+06,248726,13069,49866,2178,6,18
9.10001,2114,12215,0.104866,1000,1.11E+06,249017,12215,49979,2114,10,18
9.12015,1898,11094,0.0352832,1000,1.11E+06,248430,11094,49632,1898,3,14
9.14029,1587,9857,0.0561011,1000,1.11E+06,248895,9857,49685,1587,4,10
9.15983,1368,8937,0.0162455,1000,1.11E+06,248474,8937,49808,1368,1,10
9.17997,1105,7813,0.0803202,1000,1.11E+06,249351,7813,49807,1105,4,7
9.20011,840,7143,0,1000,1.11E+06,247445,7143,49535,840,0,10
9.22025,609,6831,0.109084,1000,1.10E+06,247931,6831,49763,609,3,4
9.23978,554,6810,0.241853,1000,1.11E+06,247407,6810,49519,554,6,9
9.25993,501,7230,0.133114,1000,1.11E+06,247977,7230,49732,501,3,6
9.28007,582,7977,0.152909,1000,1.10E+06,248277,7977,49601,582,4,10
9.30021,668,8763,0.0997418,1000,1.11E+06,248377,8763,49795,668,3,8
9.31974,923,9861,0.047808,1000,1.11E+06,249766,9861,50107,923,2,12
9.33988,1116,10921,0.0199189,1000,1.11E+06,249136,10921,49730,1116,1,14
9.36003,1489,12114,0.12047,1000,1.11E+06,248953,12114,49335,1489,8,15
9.38017,1737,13076,0.0639307,1000,1.11E+06,248338,13076,49810,1737,5,17
9.3997,1987,13793,0.0222771,1000,1.11E+06,248451,13793,50051,1987,2,19
9.42045,2138,13916,0.0419054,1000,1.11E+06,249283,13916,49428,2138,4,16
9.43999,2315,13925,0.038315,1000,1.11E+06,248964,13925,49839,2315,4,15
9.46013,2218,13512,0.0497584,1000,1.10E+06,249556,13512,50008,2218,5,21
9.48027,2173,12690,0.0408363,1000,1.11E+06,247253,12690,49856,2173,4,12
9.4998,2043,11803,0.0218878,1000,1.11E+06,248526,11803,49453,2043,2,9
9.51994,1896,10867,0.0586856,1000,1.11E+06,248894,10867,49777,1896,5,11
9.54009,1543,9746,0.0434327,1000,1.10E+06,246795,9746,49433,1543,3,13
9.56084,1310,8749,0.0340602,1000,1.11E+06,248238,8749,49580,1310,2,11
9.57976,1054,7663,0.0424265,1000,1.11E+06,248502,7663,49472,1054,2,11
9.60051,885,7118,0.0752563,1000,1.11E+06,248193,7118,49825,885,3,17
9.62004,643,6786,0.103282,1000,1.11E+06,248197,6786,50001,643,3,12
9.6408,551,6897,0.0403054,1000,1.11E+06,247627,6897,49811,551,1,8
9.65972,544,7183,0.162656,1000,1.11E+06,248879,7183,49974,544,4,12
9.68047,637,7995,0.104803,1000,1.11E+06,248598,7995,49721,637,3,11
9.7,761,9013,0.116582,1000,1.11E+06,249490,9013,49933,761,4,11
9.72076,934,9840,0.0951974,1000,1.11E+06,249651,9840,49799,934,4,17
9.74029,1229,11079,0.0363286,1000,1.10E+06,249187,11079,49488,1229,2,8
9.75982,1455,12116,0.107143,1000,1.11E+06,248064,12116,49749,1455,7,20
9.77996,1848,12945,0.120385,1000,1.11E+06,248282,12945,49701,1848,10,26
9.8001,2011,13882,0.0111014,1000,1.11E+06,249702,13882,49535,2011,1,14
9.82025,2131,13933,0.0627129,1000,1.11E+06,248705,13933,49672,2131,6,17
9.83978,2266,13832,0.0489385,1000,1.11E+06,249199,13832,49878,2266,5,21
9.86053,2352,13667,0.0759694,1000,1.11E+06,248498,13667,49521,2352,8,17
9.88006,2155,12729,0.0513381,1000,1.11E+06,248955,12729,49995,2155,5,12
9.90081,2090,11626,0.0425531,1000,1.11E+06,249584,11626,49774,2090,4,16
9.92035,1830,10750,0.0484751,1000,1.11E+06,249633,10750,49829,1830,4,12
9.93988,1582,9749,0.0839417,1000,1.11E+06,248583,9749,50001,1582,6,15
9.96002,1271,8613,0.052648,1000,1.11E+06,248404,8613,49541,1271,3,13
9.98016,1017,7896,0.0436622,1000,1.11E+06,250127,7896,49897,1017,2,9
10.0003,801,7140,0.0830008,1000,1.11E+06,250758,7140,49906,801,3,6
